# ,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
332,150132911,2,12200000,45,30,6,0.05308103016756147,15,1,0,0,0,7,12,0
333,150505189,3,12200000,60,43,6,0.05485427944518305,10,1,0,0,0,5,9,0
334,149498170,2,12200000,36,28,5,0.04291753489484154,5,1,1,0,0,2,5,0
335,150412172,1,12240000,30,NaN,1,0.04232661678247075,12,1,1,0,0,1,8,0
336,150754528,1,12100000,36,18,9,0.04329451017680629,13,1,1,0,0,9,12,0
337,147823957,4,104998887,179,NaN,NaN,0.04167585548072389,7,1,1,0,0,3,7,0
338,149813722,3,57000000,103,65,15,0.016968577101513085,4,1,0,0,0,4,8,0
339,150638618,3,12250000,60,43,6,0.05485427944518305,7,1,0,0,0,5,9,0
340,51898234,2,12250000,51,30,9,0.02876642769706216,7,1,0,0,0,12,12,0
341,150412627,3,12300000,51,33,6,0.05437067718771169,10,1,0,0,0,6,9,0
342,150984067,1,12300000,36,19,10,0.04495149497902915,5,1,0,0,0,3,14,0
343,138858988,2,12300000,50,31,9,0.05201562489916034,7,1,0,0,0,12,12,0
344,149213365,3,12312000,64,43,8,0.028468118477513137,5,1,0,0,0,8,16,0
345,150119665,3,12350000,55,42,6,0.022915039398828437,8,1,1,0,0,2,5,0
346,150688077,3,12357700,64,45,NaN,0.06326814344083462,NaN,NaN,0,0,0,6,19,1
347,150866574,1,12393120,38,NaN,NaN,0.031131430478701337,8,1,0,0,0,3,7,1
348,150697081,2,12400000,38,25,6,0.039026426624146855,10,0,0,0,0,9,9,0
349,149401409,1,12450000,38,21,8,0.048904314904210044,10,1,1,0,0,5,6,0
350,149031292,1,12475868,60,60,1,0.05408519371925884,6,1,0,0,0,4,NaN,1
351,150645853,1,12480000,47,22,10,0.041650007174669275,7,1,0,0,0,8,9,0
352,36857278,3,12490000,56,45,6,0.02563793461747904,3,1,1,0,0,3,5,0
353,28430464,1,12500000,40,23,8,0.0332966256706319,2,1,1,0,0,5,9,0
354,149783852,2,12500000,50,30,8,0.04690217053879282,7,1,0,0,0,10,17,0
355,148809305,2,12500000,53,35,10,0.05982340692613685,10,1,1,0,0,4,5,0
356,149863410,2,12500000,56,30,9,0.08506708145017268,12,1,0,0,0,2,12,0
357,150866570,1,12533034,38,NaN,NaN,0.031131430478701337,8,1,0,0,0,2,7,1
358,150168434,3,12600000,60,49,6,0.05485427944518305,10,1,0,0,0,5,9,0
359,142990757,1,12600000,39,NaN,1,0.054713843855550455,5,1,1,0,0,7,10,0
360,149786011,1,12600000,38,31,8,0.05549370903309815,5,1,0,0,0,6,8,1
361,149442047,1,12600000,40,NaN,40,0.054713843855550455,5,1,0,0,0,8,8,0
362,150046260,1,12600000,38,38,1,0.054713843855550455,7,1,1,0,0,7,10,0
363,142857626,1,12600000,37,37,1,0.05549370903309815,3,1,0,0,0,7,10,0
364,151016019,2,38000000,54,38,8,0.03170895374259837,7,1,0,0,0,7,14,0
365,149858636,2,15700000,56,35,9,0.057725876698841626,6,1,0,0,0,7,12,0
366,149908048,4,130433400,156,156,NaN,0.014458345660897192,10,1,0,0,0,8,15,0
367,150571556,2,12600000,37,NaN,NaN,0.04291753489484154,13,1,1,0,0,2,5,0
368,150866576,1,12614713,38,NaN,NaN,0.031131430478701337,8,1,0,0,0,4,7,1
369,151005316,2,12646834,50,30,NaN,0.05408519371925884,6,1,1,0,0,2,8,1
370,151005271,1,12646834,50,25,1,0.05408519371925884,6,1,1,0,0,2,8,1
371,48898056,1,12700000,50,14,19,0.028468118477513137,10,1,1,0,0,12,19,1
372,149031310,1,12751098,60,60,1,0.05408519371925884,6,1,0,0,0,5,NaN,1
373,150163594,3,12800000,56,40,5,0.06277360101388486,12,1,1,0,0,4,9,0
374,149315421,2,12800000,52,30,8,0.04528615991945475,5,1,0,0,0,16,17,0
375,149582832,1,12888859,38,NaN,NaN,0.031131430478701337,8,1,0,0,0,5,7,1
376,150957025,2,12900000,51,28,7,0.07168254866039973,11,1,1,0,0,12,17,0
377,148747765,2,12900000,48,32,6,0.024675002323198924,5,0,1,0,0,2,6,0
378,150452675,2,12900000,39,23,6,0.027393498390125674,9,1,0,0,0,2,12,0
379,150691440,3,12900000,58,39,6,0.047879918421505824,12,1,0,0,0,3,12,0
380,150136193,2,12900000,54,44,1,0.07538202053706032,NaN,NaN,1,0,0,4,5,0
381,149814138,2,12950000,45,25,6,0.0601649490687921,15,0,0,0,0,4,12,0
382,138241556,2,12950000,53,32,8,0.05037064876542846,NaN,NaN,0,0,0,8,17,0
383,151110431,1,12990000,40,22,10,0.047962697426752084,9,1,0,0,0,5,9,0
384,149148659,2,13000000,55,34,9,0.03510881638349397,9,1,0,0,0,2,6,0
385,148602389,2,13000000,64,34,13,0.06254098757335463,11,1,0,0,0,2,17,0
386,150193270,2,13000000,64,34,12,0.053825811528024195,5,1,0,0,0,3,16,0
387,150614763,2,13000000,51,51,NaN,0.05549370903309815,6,1,1,0,0,4,7,0
388,149955431,3,13000000,65,38,8,0.07716276147242505,5,0,0,0,0,2,5,0
389,150834553,2,13000000,52,52,NaN,0.05549370903309815,5,1,0,0,0,4,7,0
390,149825846,2,13000000,56,28,10,0.02220248656907053,5,1,0,0,0,1,16,0
391,150155058,1,13000000,26,20,6,0.03557744867257522,6,1,0,0,0,10,12,1
392,150969676,4,84000000,143,97,17,0.03258629875039675,3,0,1,0,0,4,6,0
393,151016196,5,85000000,203,30,100,0.014478382114377608,5,1,0,0,0,2,4,0
394,150768577,2,140670000,104,104,22,0.0268363122624947,5,0,1,0,0,3,6,1
395,150923969,2,13000000,40,29,8,0.05614485094512021,6,1,0,0,0,6,12,0
396,148581229,1,13000000,36,19,9,0.01749631178420103,5,1,0,0,0,5,12,0
397,47342072,2,13000000,58,39,7,0.04721524414476552,3,1,0,0,0,11,12,0
398,150222285,1,13000000,26,NaN,NaN,0.03557744867257522,3,1,1,0,0,10,12,1
399,150867282,3,13000000,58,44,6,0.0652578325555652,13,1,0,0,0,2,9,0
400,150975797,2,13000000,67,40,NaN,0.06050354656918832,7,1,0,0,0,3,44,1
401,151029741,2,13000000,41,26,8,0.029786629007830908,7,1,0,0,0,8,12,0
402,148462331,2,13000000,60,32,9,0.09164713249333103,5,0,0,0,0,5,9,0
403,150866577,1,13149940,38,NaN,NaN,0.031131430478701337,8,1,0,0,0,7,7,1
404,48903381,1,13149940,38,NaN,1,0.03070883446909226,5,1,1,0,0,7,7,1
405,150923231,2,13200000,58,33,9,0.05568454903516447,4,1,1,0,0,5,9,0
406,150963174,2,13200000,44,30,5,0.04285707131209655,11,1,1,0,0,2,5,0
407,19468618,3,13300000,64,43,10,0.05201562489916034,6,1,0,0,0,2,12,0
408,51514109,4,13300000,62,42,6,0.04790105045455487,7,1,0,0,0,9,9,0
409,138125472,1,13300000,43,35,8,0.054713843855550455,5,1,0,0,0,2,9,1
410,149382777,2,13300000,53,32,9,0.06225252347696536,5,1,0,0,0,14,17,0
411,48902976,1,13356800,38,NaN,1,0.03070883446909226,5,1,1,0,0,6,7,1
412,48914186,1,13366874,37,NaN,1,0.03070883446909226,5,1,1,0,0,4,7,1
413,150233344,2,13399000,55,34,8,0.06163720093782567,9,1,1,0,0,4,5,0
414,150163791,2,13400000,51,30,10,0.06207510062215209,12,1,0,0,0,2,17,0
415,150814098,3,13400000,63,45,7,0.03276202509384896,5,1,0,0,0,1,5,0
416,147822175,3,13450000,75,56,7,0.027676948011840802,15,1,1,0,0,5,5,0
417,150583760,1,13490000,46,21,11,0.05474728842828753,15,1,1,0,0,13,16,0
418,149249178,2,13500000,63,43,10,0.043997121565505844,10,1,1,0,0,4,6,0
419,150585733,3,13500000,55,40,5,0.025711870146882594,5,1,0,0,0,2,5,0
420,149387514,4,108000000,166,86,17,0.044283672926372905,2,1,0,0,0,3,6,0
421,150230286,1,8350000,32,18,1,0.050269293840776004,4,1,0,0,0,1,7,0
422,144137736,2,19708948,67,35,12,0.055175508536396516,10,1,0,0,0,2,13,1
423,150798301,2,13500000,63,43,8,0.06035852630448962,5,1,1,0,0,1,6,0
424,139415352,3,13500000,82,60,7,0.07487039555158004,15,1,1,0,0,3,5,0
425,151081100,2,13500000,56,34,8,0.06163720093782567,15,1,1,0,0,5,5,0
426,149545325,2,13500000,52,32,8,0.03395617626073388,3,1,0,0,0,3,8,0
427,151078051,3,13500000,64,42,7,0.023985132350057514,6,1,0,0,0,12,12,0
428,150890065,1,13500000,42,18,11,0.03762475875869322,11,1,1,0,0,1,5,0
429,150442670,2,13500000,58,31,9,0.07285826064936066,15,1,1,0,0,8,22,0
430,149900063,3,13600000,65,44,11,0.06187544006348688,3,1,0,0,0,8,12,0
431,149632549,2,13600000,53,33,11,0.03974039128455921,7,1,1,0,0,2,7,0
432,149752695,3,13600000,64,43,9,0.06199088638703516,10,1,0,0,0,1,12,0
433,142990748,1,13641600,39,NaN,1,0.05549370903309815,5,1,0,0,0,9,10,0
434,148314575,2,13700000,53,32,8,0.033496508296388686,5,1,0,0,0,8,11,0
435,149031372,1,13748136,54,54,1,0.05408519371925884,6,1,0,0,0,4,NaN,1
436,149691936,2,13800000,57,37,10,0.06803679354620892,10,1,1,0,0,4,5,0
437,145349782,2,13800000,52,27,8,0.027310768507126562,8,1,1,0,0,5,12,0
438,148648585,2,13800000,52,39,10,0.05663776438075712,5,0,0,0,0,2,10,0
439,150372255,2,13850000,43,23,7,0.05657024496720877,3,1,1,0,0,10,12,0
440,150994294,1,13876500,43,10,18,0.028468118477513137,10,1,1,0,0,16,19,1
441,149023004,3,13900000,83,54,11,0.06807572672435927,12,1,1,0,0,2,5,0
442,143796435,3,13900000,92,57,NaN,0.054578102710242764,4,1,1,0,0,2,9,0
443,149821406,1,13900000,42,34,2,0.026237538597394635,7,1,0,0,0,5,17,0
444,150017215,3,13900000,56,36,6,0.021643708906973588,5,1,1,0,0,3,5,0
445,48893631,1,13906174,39,NaN,1,0.03070883446909226,5,1,1,0,0,7,7,1
446,151005796,2,13950000,57,35,9,0.032599705622136405,9,1,0,0,0,5,16,0
447,151006051,2,13950579,79,40,NaN,0.05408519371925884,6,1,1,0,0,3,4,1
448,150919884,4,117390060,160,112,10,0.021175393919596268,8,1,0,0,0,5,6,0
449,151130584,3,91681800,105,75,6,0.03557744867257522,3,1,0,0,0,11,12,1
450,7368057,3,95868549,142,94,16,0.0548453966678161,10,1,1,0,0,9,11,0
451,151006093,3,13950579,79,50,NaN,0.05408519371925884,6,1,1,0,0,3,4,1
452,149031341,1,13950579,79,79,1,0.05408519371925884,6,1,0,0,0,3,NaN,1
453,151006013,1,13950579,79,30,NaN,0.05408519371925884,6,1,1,0,0,3,4,1
454,148800466,3,13950579,79,79,1,0.054426312870247046,5,1,1,0,0,3,6,0
455,150984396,2,13990000,54,30,9,0.04604696222608177,14,1,0,0,0,2,12,0
456,149630417,2,13999000,42,17,9,0.058032851829375884,10,1,1,0,0,5,11,0
457,149630245,1,13999000,42,17,9,0.058032851829375884,10,1,1,0,0,5,11,0
458,149215009,2,14000000,53,29,8,0.029232319960107292,10,1,0,0,0,9,12,0
459,149907918,1,14000000,44,21,10,0.047962697426752084,9,1,1,0,0,7,12,0
460,51302824,3,14000000,58,45,6,0.05887585217939787,3,1,1,0,0,2,8,0
461,149695265,2,14000000,52,31,9,0.05125384636931805,4,1,1,0,0,13,14,0
462,35555040,2,14000000,56,43,10,0.022915039398828437,5,1,1,0,0,3,5,0
463,151005153,3,14000000,78,52,9,0.083746766276975,15,1,0,0,0,5,5,0
464,146260189,2,14000000,52,30,8,0.04748014831326758,9,1,0,0,0,8,12,0
465,150535122,2,14000000,60,38,10,0.05990925916959518,4,1,1,0,0,5,8,0
466,10917313,1,14347674,38,28,10,0.033107118174949025,8,1,1,0,0,3,8,0
467,149031280,1,14093090,54,54,1,0.05408519371925884,6,1,0,0,0,4,NaN,1
468,151076394,2,14100000,48,36,6,0.014049200555550177,2,1,1,0,0,2,5,0
469,38068102,2,14200000,45,32,6,0.06058796728270689,5,1,0,0,0,4,9,0
470,150848847,1,14200000,41,32,5,0.054713843855550455,NaN,NaN,0,0,0,2,10,0
471,149714091,2,14200000,56,31,8,0.05037064876542846,7,1,0,0,0,3,17,0
472,37076788,3,14200000,55,37,8,0.05007480099861086,4,1,1,0,0,1,8,0
473,141223244,3,14200000,78,50,9,0.030398748484929204,8,1,1,0,0,5,5,0
474,149725946,2,14256211,48,32,5,0.031131430478701337,8,1,0,0,0,2,11,1
475,150539110,2,14300000,53,33,7,0.019832754762008593,5,1,0,0,0,5,8,0
476,150048441,1,21634000,54,36,1,0.03811889732730388,5,1,0,0,0,2,10,0
477,149670741,2,48430200,54,54,1,0.0212993523152703,5,1,0,0,0,5,7,0
478,150531936,5,95000000,190,130,12,0.03170895374259837,5,1,0,0,0,9,14,0
479,150585722,2,14300000,64,28,10,0.06917965363349182,5,0,1,0,0,19,21,0
480,150950310,2,14300000,54,32,9,0.03148395665176256,10,1,0,0,0,3,16,0
481,149480768,2,14300000,63,28,1,0.06917965363349182,15,0,1,0,0,19,21,0
482,149726250,1,14387994,38,19,1,0.031131430478701337,8,1,0,0,0,2,10,1
483,148784579,2,14400000,50,30,10,0.05614485094512021,6,1,0,0,0,4,14,0
484,48915251,2,14400000,57,26,12,0.028468118477513137,10,1,1,0,0,2,19,1
485,150245832,1,14400000,48,20,10,0.05474728842828753,14,1,0,0,0,14,16,0
486,148833217,4,14450000,64,48,6,0.06256283647861906,5,1,1,0,0,1,6,0
487,149898239,3,14450000,64,48,6,0.06256283647861906,5,1,1,0,0,1,6,0
488,150915504,2,14450000,48,37,6,0.042003188196250256,8,1,0,0,0,3,6,0
489,149533392,3,14490000,71,52,7,0.06909633072638718,10,1,0,0,0,1,6,0
490,150427925,2,14499000,53,30,9,0.05694365348175241,6,1,0,0,0,5,14,0
491,150989262,2,14500000,56,29,18,0.04043837761397112,4,1,1,0,0,5,5,0
492,151006939,3,14500000,56,29,15,0.04043837761397112,4,1,1,0,0,5,5,0
493,150828482,2,14500000,53,32,7,0.06917965363349182,15,1,1,0,0,5,21,0
494,46443364,2,14500000,50,32,7,0.04382427046341111,5,1,1,0,0,2,10,0
495,50960583,1,14500000,66,28,11,0.030281877079365475,2,1,1,0,0,4,5,0
496,150208898,3,14500000,59,59,1,0.04721524414476552,4,1,0,0,0,10,12,0
497,150291649,2,14500000,77,42,15,0.05018768503577517,11,1,0,0,0,2,4,0
498,150649035,2,14500000,43,26,6,0.06928066413112832,10,1,1,0,0,3,8,0
499,148750139,3,14500000,68,46,8,0.06963676334990147,11,1,0,0,0,5,5,0
500,148648791,2,14500000,55,34,9,0.05663776438075712,5,0,0,0,0,2,10,0
501,150571945,2,14500000,35,23,5,0.03426267456649842,15,1,1,0,0,6,7,0
502,150046301,1,14518000,42,42,1,0.054713843855550455,7,1,1,0,0,8,10,0
503,46757132,1,14518000,42,42,1,0.05549370903309815,3,1,0,0,0,8,10,0
504,150196659,5,160000000,180,NaN,NaN,0.031184913786156006,4,1,0,0,0,4,11,0
505,148071660,3,99781551,188,160,2,0.08827573957237746,3,1,0,0,0,45,85,0
506,151024595,2,35398540,73,NaN,NaN,0.023737712759444377,9,1,1,0,0,3,7,1
507,48914896,1,14535900,52,13,25,0.028468118477513137,10,1,1,0,0,14,19,1
508,148349514,2,14558000,50,24,8,0.055175508536396516,9,1,0,0,0,2,13,1
509,149008335,1,14615199,35,28,10,0.031131430478701337,8,1,0,0,0,3,7,1
510,148158447,1,14630000,38,NaN,1,0.04232661678247075,7,1,1,0,0,3,8,0
511,150222130,2,14661025,45,NaN,NaN,0.07396375262958059,13,1,1,0,0,5,21,0
512,149902160,3,14700000,65,45,12,0.03840924665298801,5,1,1,0,0,2,6,0
513,150646235,3,14700000,65,36,7,0.05635767021133634,3,1,1,0,0,1,5,0
514,149902072,2,14700000,65,36,23,0.03840924665298801,5,1,1,0,0,2,6,0
515,151109392,2,14700000,65,34,8,0.02390521774529638,5,1,1,0,0,1,5,0
516,149808775,1,14723200,43,NaN,1,0.054713843855550455,5,1,1,0,0,9,10,0
517,150667151,2,14790000,51,30,10,0.05680675250047124,5,0,0,0,0,5,11,0
518,150098520,2,14800000,52,29,8,0.05614485094512021,5,0,0,0,0,3,9,0
519,138033588,1,14800000,50,30,15,0.08533075436939283,10,1,1,0,0,6,22,0
520,150218761,1,14800000,50,30,15,0.08533075436939283,10,1,1,0,0,6,20,0
521,48891691,1,14837900,45,10,20,0.028468118477513137,10,1,1,0,0,19,19,1
522,150555676,3,14850000,67,42,8,0.0658943457198728,12,1,0,0,0,3,5,0
523,151076789,2,14850000,43,24,6,0.04442701160161662,5,1,1,0,0,4,10,0
524,149442049,1,14891971,52,17,12,0.055175508536396516,9,1,0,0,0,2,13,1
525,147398692,2,14900000,42,23,8,0.02550028872091573,5,1,1,0,0,6,6,0
526,150438823,1,14900000,44,20,10,0.059407985726247343,15,1,0,0,0,2,11,0
527,150548363,2,14900000,65,36,10,0.027962659137677606,5,1,1,0,0,5,5,0
528,150988717,2,14900000,60,36,8,0.03679495944895234,7,1,1,0,0,8,9,0
529,150994297,1,14961100,46,16,20,0.028468118477513137,10,1,1,0,0,18,19,1
530,149726176,2,14968983,48,32,5,0.031131430478701337,8,1,0,0,0,2,11,1
531,150164670,2,14990000,57,33,10,0.06490359932122652,10,1,1,0,0,7,7,0
532,148552263,4,130000000,200,120,20,0.028454493533531935,2,1,1,0,0,4,6,0
533,150784978,3,87000000,113,90,15,0.045213503828499015,3,1,1,0,0,1,14,0
534,148956565,3,71086203,109,80,20,0.08377358577289955,2,1,0,0,0,36,62,0
535,150638601,2,15000000,55,34,7,0.05919573061674234,1,1,1,0,0,12,12,0
536,150638528,2,15000000,53,31,12,0.03916616085921722,5,1,1,0,0,2,13,0
537,149371715,3,15000000,66,46,9,0.04742363669152883,3,1,0,0,0,4,5,0
538,150693231,1,15000000,46,19,10,0.03557200742788992,3,1,0,0,0,1,12,0
539,150316453,2,15000000,64,38,8,0.05708879445784088,11,1,1,0,0,4,5,0
540,150424917,4,15000000,72,52,9,0.07086738919736228,10,1,1,0,0,3,5,0
541,151006904,2,15000000,50,26,8,0.026309830699760076,5,1,1,0,0,6,15,0
542,150685347,2,15000000,50,26,8,0.026309830699760076,10,1,0,0,0,6,15,0
543,151067180,3,15000000,59,40,19,0.08578600326072972,NaN,NaN,1,0,0,7,9,0
544,150779927,2,15000000,51,30,9,0.03869441551502816,9,1,1,0,0,11,12,0
545,150405279,1,15000000,39,18,9,0.0490540646292404,10,1,1,0,0,9,13,0
546,151006137,3,15125860,85,50,1,0.05408519371925884,6,1,1,0,0,2,8,1
547,149351101,1,15200000,50,18,12,0.026200262369872582,8,1,1,0,0,1,9,0
548,151092457,2,15200000,55,30,10,0.030729279110486594,4,1,0,0,0,4,7,0
549,147848235,3,15200000,70,48,8,0.06039080940052089,2,1,1,0,0,3,5,0
550,151027267,3,15200000,80,55,16,0.061539570164652495,2,1,1,0,0,4,5,0
551,149582986,2,15234950,52,NaN,NaN,0.05408519371925884,9,1,0,0,0,7,9,1
552,150977808,3,15300000,77,51,10,0.0658943457198728,5,1,1,0,0,3,5,0
553,138996228,1,15309500,45,37,8,0.07305702494387784,10,1,0,0,0,6,21,1
554,150638611,2,15400000,46,30,7,0.015951126450819548,4,1,1,0,0,3,8,0
555,148676122,3,15400000,64,46,6,0.04291753489484154,6,1,1,0,0,2,5,0
556,150828447,2,15400000,54,38,6,0.023587130835480027,5,1,1,0,0,4,7,0
557,48903176,1,15422644,38,NaN,1,0.03070883446909226,5,1,1,0,0,7,7,1
558,31159354,2,15500000,37,27,7,0.01926053336877951,4,1,1,0,0,2,10,0
559,150645880,3,15500000,68,39,12,0.024981444799096142,5,1,1,0,0,2,7,0
560,148012548,3,152763598,146,NaN,NaN,0.05351022759108807,4,1,0,0,0,5,12,0
561,49675544,3,100000000,153,96,18,0.04257949894315234,10,1,1,0,0,3,7,0
562,149441292,3,35000000,98,52,12,0.021674520913961954,6,1,0,0,0,6,12,0
563,149670494,2,15500000,50,40,1,0.03953999471484212,10,1,1,0,0,6,9,0
564,148695984,3,15500000,60,37,10,0.014341004304093862,4,1,1,0,0,1,3,0
565,150132907,3,15500000,78,55,15,0.04706261699321221,6,1,0,0,0,5,5,0
566,150976598,2,15500000,56,38,8,0.06232837539877003,5,1,1,0,0,4,6,0
567,151140182,3,15500000,72,46,9,0.04721524414476552,3,0,0,0,0,4,10,0
568,151137914,2,15500000,50,40,10,0.03321664046904488,3,1,0,0,0,7,7,0
569,149311911,2,15500000,51,30,10,0.05680675250047124,5,0,0,0,0,10,11,0
570,39495635,2,15500000,50,31,7,0.03321664046904488,3,1,0,0,0,7,8,0
571,149257031,2,15550000,45,30,8,0.03854842252090558,10,1,0,0,0,9,17,0
572,150866578,1,15558049,45,NaN,NaN,0.031131430478701337,8,1,0,0,0,2,7,1
573,48902886,1,15558050,45,NaN,1,0.03070883446909226,5,1,1,0,0,2,6,1
574,149011453,1,15638200,38,31,8,0.030903799294746584,5,1,0,0,0,3,7,1
